processes,rank,time_ms
64,30,63.5351
64,31,63.5149
64,32,63.5261
64,33,63.4924
64,34,63.5244
64,35,63.5136
64,36,63.5196
64,37,63.5137
64,38,63.5116
64,39,63.4792
64,40,63.5048
64,41,63.4964
64,42,63.5093
64,43,63.5014
64,44,63.5009
64,45,63.5116
64,46,63.5196
64,47,63.4837
64,48,63.5167
64,49,63.5181
64,50,63.4967
64,51,63.5015
64,52,63.5118
64,53,63.5077
64,54,63.5237
64,55,63.4918
64,56,63.5042
64,57,63.5252
64,58,63.5137
64,59,63.5225
64,60,63.5267
64,61,63.5138
64,62,63.5351
64,63,63.515
64,0,63.5244
64,1,63.4434
64,2,63.424
64,3,63.4544
64,4,63.4167
64,5,63.4469
64,6,63.4371
64,7,63.4562
64,8,63.4166
64,9,63.4333
64,10,63.3947
64,11,63.4338
64,12,63.392
64,13,63.4405
64,14,63.4159
64,15,63.4463
64,16,63.4133
64,17,63.4315
64,18,63.4229
64,19,63.4429
64,20,63.4231
64,21,63.4439
64,22,63.4405
64,23,63.457
64,24,63.4305
64,25,63.4336
64,26,63.4167
64,27,63.4473
64,28,63.3889
64,29,63.4311
64,30,63.4249
64,31,63.4576
64,32,63.4366
64,33,63.4556
64,34,63.4041
64,35,63.4564
64,36,63.4376
64,37,63.4409
64,38,63.4411
64,39,63.4585
64,40,63.3861
64,41,63.4406
64,42,63.4201
64,43,63.4535
64,44,63.4088
64,45,63.4362
64,46,63.4409
64,47,63.4601
64,48,63.4197
64,49,63.4331
64,50,63.4071
64,51,63.455
64,52,63.3893
64,53,63.4388
64,54,63.4395
64,55,63.4484
64,56,63.4167
64,57,63.4468
64,58,63.4203
64,59,63.4437
64,60,63.4242
64,61,63.4409
64,62,63.4476
64,63,63.46
64,0,63.433
64,1,63.7249
64,2,63.6759
64,3,63.71
64,4,63.6918
64,5,63.7249
64,6,63.6742
64,7,63.7098
64,8,63.6916
64,9,63.7154
64,10,63.6983
64,11,63.7216
64,12,63.6977
64,13,63.7296
64,14,63.6869
64,15,63.7233
64,16,63.6736
64,17,63.7152
64,18,63.6821
64,19,63.6964
64,20,63.6902
64,21,63.7173
64,22,63.7043
64,23,63.6952
64,24,63.714
64,25,63.7105
64,26,63.7001
64,27,63.736
64,28,63.6987
64,29,63.7364
64,30,63.7127
64,31,63.7208
64,32,63.69
64,33,63.7296
64,34,63.6994
64,35,63.7307
64,36,63.7108
64,37,63.7195
64,38,63.6956
64,39,63.7288
64,40,63.6905
64,41,63.7189
64,42,63.7003
64,43,63.7075
64,44,63.6965
64,45,63.7379
64,46,63.7098
64,47,63.7209
64,48,63.6904
64,49,63.7256
64,50,63.7011
64,51,63.71
64,52,63.6994
64,53,63.7106
64,54,63.6795
64,55,63.7222
64,56,63.6819
64,57,63.7347
64,58,63.7008
64,59,63.731
64,60,63.688
64,61,63.715
64,62,63.7028
64,63,63.7109
64,0,63.6919
64,1,63.6281
64,2,63.5985
64,3,63.624
64,4,63.6093
64,5,63.6481
64,6,63.5973
64,7,63.6375
64,8,63.5982
64,9,63.6243
64,10,63.5929
64,11,63.6073
64,12,63.6074
64,13,63.6482
64,14,63.5857
64,15,63.6292
64,16,63.6028
64,17,63.6342
64,18,63.5715
64,19,63.6295
64,20,63.5954
64,21,63.6478
64,22,63.594
64,23,63.6383
64,24,63.6066
64,25,63.6392
64,26,63.5867
64,27,63.6108
64,28,63.6103
64,29,63.6424
64,30,63.6059
64,31,63.6529
64,32,63.5984
64,33,63.6312
64,34,63.5839
64,35,63.6396
64,36,63.58
64,37,63.6493
64,38,63.589
64,39,63.6421
64,40,63.595
64,41,63.6274
64,42,63.5759
64,43,63.6107
64,44,63.6118
64,45,63.6506
64,46,63.5788
64,47,63.6342
64,48,63.573
64,49,63.6376
64,50,63.5837
64,51,63.6321
64,52,63.6015
64,53,63.6523
64,54,63.6131
64,55,63.6338
64,56,63.611
64,57,63.6229
64,58,63.574
64,59,63.6249
64,60,63.6166
64,61,63.6341
64,62,63.6191
64,63,63.6505
64,0,63.5897
64,1,63.8208
64,2,63.8726
64,3,63.8379
64,4,63.8739
64,5,63.8339
64,6,63.87
64,7,63.8274
64,8,63.8729
64,9,63.7999
64,10,63.8544
64,11,63.841
64,12,63.8764
64,13,63.8333
64,14,63.8812
64,15,63.8036
64,16,63.8767
64,17,63.788
64,18,63.8648
64,19,63.8121
64,20,63.8738
64,21,63.8395
64,22,63.8755
64,23,63.8261
64,24,63.8773
64,25,63.811
64,26,63.8564
64,27,63.8568
64,28,63.8844
64,29,63.8365
64,30,63.8885
64,31,63.8506
64,32,63.8635
64,33,63.8149
64,34,63.8642
64,35,63.8419
64,36,63.8414
64,37,63.8192
64,38,63.8737
64,39,63.8169
64,40,63.8719
64,41,63.7749
64,42,63.8643
64,43,63.8191
64,44,63.858
64,45,63.8224
64,46,63.8577
64,47,63.8044
64,48,63.863
64,49,63.8019
64,50,63.8776
64,51,63.8181
64,52,63.8583
64,53,63.8279
64,54,63.8561
64,55,63.8157
64,56,63.8619
64,57,63.794
64,58,63.8708
64,59,63.8488
64,60,63.8843
64,61,63.8341
64,62,63.8804
64,63,63.8361
64,0,63.8612
128,1,57.1163
128,2,67.5532
128,3,38.356
128,4,38.3543
128,5,57.215
128,6,52.0892
128,7,41.2591
128,8,73.0937
128,9,40.2061
128,10,51.1301
128,11,67.5679
128,12,63.2029
128,13,67.4436
128,14,67.4298
128,15,53.1987
128,16,73.2408
128,17,57.4095
128,18,41.1462
128,19,47.0722
128,20,40.0923
128,21,36.0627
128,22,52.0531
128,23,30.1085
128,24,73.1357
128,25,67.4369
128,26,67.4269
128,27,14.3974
128,28,52.0884
128,29,57.104
128,30,67.426
128,31,37.7922
128,32,20.7543
128,33,24.0691
128,34,38.5731
128,35,57.0783
128,36,37.9838
128,37,38.5831
128,38,67.4403
128,39,41.2168
128,40,73.1018
128,41,67.4137
128,42,67.4724
128,43,67.5625
128,44,63.0549
128,45,67.4693
128,46,67.4627
128,47,67.5712
128,48,73.1715
128,49,67.5652
128,50,67.4652
128,51,67.4476
128,52,52.0419
128,53,67.4605
128,54,67.4799
128,55,51.0719
128,56,73.1314
128,57,67.5883
128,58,67.4475
128,59,22.2055
128,60,63.0527
128,61,67.5768
128,62,67.4601
128,63,67.4678
128,64,73.1254
128,65,57.1173
128,66,67.4721
128,67,57.3097
128,68,47.1189
128,69,57.2118
128,70,67.4291
128,71,41.2438
128,72,73.1202
128,73,52.2264
128,74,56.0928
128,75,67.5913
128,76,63.1948
128,77,67.4314
128,78,67.4476
128,79,53.2151
128,80,73.1793
128,81,67.72
128,82,45.1184
128,83,52.1289
128,84,41.6017
128,85,36.2975
128,86,52.0682
128,87,38.0975
128,88,73.122
128,89,67.4324
128,90,67.4553
128,91,14.4202
128,92,63.0577
128,93,67.4985
128,94,67.4548
128,95,67.4427
128,96,47.7224
128,97,52.2073
128,98,51.0724
128,99,57.0644
128,100,47.0652
128,101,38.723
128,102,67.4392
128,103,41.2651
128,104,67.6966
128,105,67.4618
128,106,67.5162
128,107,67.5848
128,108,52.0838
128,109,67.4436
128,110,67.461
128,111,53.2594
128,112,73.2064
128,113,67.612
128,114,46.1403
128,115,50.1317
128,116,52.0585
128,117,38.097
128,118,37.9329
128,119,41.117
128,120,73.1213
128,121,67.6401
128,122,67.4657
128,123,22.2292
128,124,38.5356
128,125,67.5816
128,126,67.4196
128,127,57.3143
128,0,62.8283
128,1,65.9447
128,2,28.9154
128,3,66.1814
128,4,33.1057
128,5,63.8317
128,6,40.9776
128,7,66.0915
128,8,54.9743
128,9,65.9657
128,10,18.9905
128,11,66.0611
128,12,21.9871
128,13,54.9899
128,14,54.9966
128,15,65.9601
128,16,55.0899
128,17,54.9659
128,18,47.9648
128,19,66.1669
128,20,36.6429
128,21,50.9397
128,22,38.9791
128,23,51.1298
128,24,50.0577
128,25,65.9789
128,26,66.1094
128,27,66.0992
128,28,30.0632
128,29,65.9749
128,30,65.9183
128,31,66.0232
128,32,40.7867
128,33,65.9546
128,34,49.9998
128,35,66.1965
128,36,36.6799
128,37,58.9474
128,38,49.9303
128,39,66.1026
128,40,65.9881
128,41,65.9289
128,42,48.9705
128,43,65.965
128,44,12.6662
128,45,65.9137
128,46,50.9834
128,47,66.0168
128,48,55.1287
128,49,51.9947
128,50,49.9779
128,51,66.1421
128,52,28.1747
128,53,50.9674
128,54,29.9996
128,55,50.117
128,56,66.0071
128,57,65.9717
128,58,66.0315
128,59,66.0894
128,60,16.6873
128,61,65.9798
128,62,65.9391
128,63,66.0827
128,64,36.6059
