#,1,0,375.21
$,1,1847.31
#,1,0,374.853
$,1,1847.4
#,1,0,380.022
$,1,1886.92
#,1,0,380.171
$,1,1888.13
#,1,0,380.561
$,1,1886.96
#,8,1,79.473
#,8,2,79.4625
#,8,3,79.4729
#,8,4,79.4637
#,8,5,79.4736
#,8,6,79.4627
#,8,7,79.4727
#,8,0,79.4632
$,8,1082.94
#,8,1,80.9133
#,8,2,80.9019
#,8,3,80.9135
#,8,4,80.9027
#,8,5,80.9136
#,8,6,80.9041
#,8,7,80.9127
#,8,0,80.9032
$,8,1089.29
#,8,1,81.7633
#,8,2,81.7527
#,8,3,81.7637
#,8,4,81.7518
#,8,5,81.7641
#,8,6,81.7524
#,8,7,81.7642
#,8,0,81.7532
$,8,1120.97
#,8,1,80.9709
#,8,2,80.9552
#,8,3,80.9705
#,8,4,80.956
#,8,5,80.9706
#,8,6,80.9547
#,8,7,80.9701
#,8,0,80.956
$,8,1112.05
#,8,1,80.3961
#,8,2,80.3899
#,8,3,80.3959
#,8,4,80.3976
#,8,5,80.3957
#,8,6,80.3905
#,8,7,80.396
#,8,0,80.3973
$,8,1096.36
#,16,1,62.9968
#,16,2,62.9882
#,16,3,62.9946
#,16,4,62.9957
#,16,5,62.9947
#,16,6,62.9873
#,16,7,62.994
#,16,8,62.9946
#,16,9,62.9968
#,16,10,62.9872
#,16,11,62.9939
#,16,12,62.9949
#,16,13,62.9944
#,16,14,62.9866
#,16,15,62.9932
#,16,0,62.9964
$,16,922.226
#,16,1,62.5131
#,16,2,62.5169
#,16,3,62.5123
#,16,4,62.5202
#,16,5,62.5118
#,16,6,62.5143
#,16,7,62.5086
#,16,8,62.5195
#,16,9,62.5133
#,16,10,62.5153
#,16,11,62.5121
#,16,12,62.5204
#,16,13,62.5116
#,16,14,62.5138
#,16,15,62.5086
#,16,0,62.5204
$,16,922.003
#,16,1,61.7853
#,16,2,61.7879
#,16,3,61.7826
#,16,4,61.7906
#,16,5,61.7849
#,16,6,61.7874
#,16,7,61.7801
#,16,8,61.791
#,16,9,61.7844
#,16,10,61.7877
#,16,11,61.7813
#,16,12,61.7905
#,16,13,61.7846
#,16,14,61.7878
#,16,15,61.7799
#,16,0,61.7906
$,16,914.483
#,16,1,63.4923
#,16,2,63.478
#,16,3,63.49
#,16,4,63.485
#,16,5,63.4918
#,16,6,63.4795
#,16,7,63.4885
#,16,8,63.484
#,16,9,63.4924
#,16,10,63.4775
#,16,11,63.4901
#,16,12,63.4845
#,16,13,63.4915
#,16,14,63.4778
#,16,15,63.4885
#,16,0,63.4861
$,16,927.831
#,16,1,62.7486
#,16,2,62.7484
#,16,3,62.7463
#,16,4,62.7484
#,16,5,62.7473
#,16,6,62.7472
#,16,7,62.7446
#,16,8,62.7542
#,16,9,62.748
#,16,10,62.7474
#,16,11,62.7466
#,16,12,62.7478
#,16,13,62.7474
#,16,14,62.7478
#,16,15,62.7439
#,16,0,62.7538
$,16,929.71
#,32,1,59.1858
#,32,2,59.1579
#,32,3,59.1867
#,32,4,59.1584
#,32,5,59.1886
#,32,6,59.1676
#,32,7,59.1888
#,32,8,59.167
#,32,9,59.1879
#,32,10,59.1681
#,32,11,59.1896
#,32,12,59.1692
#,32,13,59.1902
#,32,14,59.1689
#,32,15,59.1924
#,32,16,59.167
#,32,17,59.1872
#,32,18,59.1572
#,32,19,59.1883
#,32,20,59.1574
#,32,21,59.1892
#,32,22,59.1697
#,32,23,59.1902
#,32,24,59.1695
#,32,25,59.1894
#,32,26,59.1706
#,32,27,59.1913
#,32,28,59.1717
#,32,29,59.1921
#,32,30,59.1712
#,32,31,59.1931
#,32,0,59.1644
$,32,1456.4
#,32,1,59.4212
#,32,2,59.4403
#,32,3,59.4219
#,32,4,59.439
#,32,5,59.4249
#,32,6,59.4417
#,32,7,59.4254
#,32,8,59.4411
#,32,9,59.4236
#,32,10,59.4419
#,32,11,59.4268
#,32,12,59.4439
#,32,13,59.4263
#,32,14,59.4446
#,32,15,59.4293
#,32,16,59.4431
#,32,17,59.4246
#,32,18,59.443
#,32,19,59.4252
#,32,20,59.4448
#,32,21,59.4276
#,32,22,59.4447
#,32,23,59.4283
#,32,24,59.4436
#,32,25,59.4266
#,32,26,59.4449
#,32,27,59.4299
#,32,28,59.4463
#,32,29,59.4304
#,32,30,59.4475
#,32,31,59.4321
#,32,0,59.4405
$,32,1587
#,32,1,58.9095
#,32,2,58.9062
#,32,3,58.9103
#,32,4,58.9032
#,32,5,58.9102
#,32,6,58.9096
#,32,7,58.9128
#,32,8,58.9022
#,32,9,58.9103
#,32,10,58.9088
#,32,11,58.9134
#,32,12,58.9042
#,32,13,58.9136
#,32,14,58.9106
#,32,15,58.9152
#,32,16,58.9068
#,32,17,58.9124
#,32,18,58.91
#,32,19,58.9137
#,32,20,58.9074
#,32,21,58.9133
#,32,22,58.9122
#,32,23,58.9156
#,32,24,58.9088
#,32,25,58.9135
#,32,26,58.9115
#,32,27,58.9154
#,32,28,58.9123
#,32,29,58.9165
#,32,30,58.9131
#,32,31,58.9177
#,32,0,58.899
$,32,1577.01
#,32,1,58.7317
#,32,2,58.7406
#,32,3,58.7285
#,32,4,58.7419
#,32,5,58.7315
#,32,6,58.7443
#,32,7,58.7327
#,32,8,58.7416
#,32,9,58.7322
#,32,10,58.743
#,32,11,58.7316
#,32,12,58.745
#,32,13,58.7353
#,32,14,58.7451
#,32,15,58.7362
#,32,16,58.7429
#,32,17,58.7333
#,32,18,58.7441
#,32,19,58.7329
#,32,20,58.7448
#,32,21,58.7341
#,32,22,58.7462
#,32,23,58.7368
#,32,24,58.7446
#,32,25,58.736
#,32,26,58.7459
#,32,27,58.735
#,32,28,58.7476
#,32,29,58.7387
#,32,30,58.7489
#,32,31,58.7381
#,32,0,58.7409
$,32,1584.79
#,32,1,58.9883
#,32,2,58.9819
#,32,3,58.9914
#,32,4,58.9788
#,32,5,58.9895
#,32,6,58.9819
#,32,7,58.9929
#,32,8,58.9806
#,32,9,58.9915
#,32,10,58.9813
#,32,11,58.9933
#,32,12,58.9823
#,32,13,58.9945
#,32,14,58.9857
#,32,15,58.995
#,32,16,58.9818
#,32,17,58.9915
#,32,18,58.9834
#,32,19,58.9936
#,32,20,58.984
#,32,21,58.9939
#,32,22,58.9856
#,32,23,58.9948
#,32,24,58.9831
#,32,25,58.9941
#,32,26,58.9872
#,32,27,58.9955
#,32,28,58.9868
#,32,29,58.9963
#,32,30,58.9886
#,32,0,58.9773
#,32,31,58.9978
$,32,1590.28
#,64,1,63.2856
#,64,2,63.2631
#,64,3,63.2743
#,64,4,63.2762
#,64,5,63.2865
#,64,6,63.2722
#,64,7,63.2765
#,64,8,63.2547
#,64,9,63.2745
#,64,10,63.263
#,64,11,63.2756
#,64,12,63.2766
#,64,13,63.2894
#,64,14,63.2799
#,64,15,63.2828
#,64,16,63.2643
#,64,17,63.2847
#,64,18,63.2539
#,64,19,63.2679
#,64,20,63.2774
#,64,21,63.2841
#,64,22,63.2768
#,64,23,63.2787
#,64,24,63.262
#,64,25,63.275
#,64,26,63.2663
#,64,27,63.2732
#,64,28,63.2801
#,64,29,63.2917
#,64,30,63.2794
#,64,31,63.2905
#,64,32,63.2775
#,64,33,63.2856
#,64,34,63.2616
#,64,35,63.2749
#,64,36,63.2757
#,64,37,63.2872
#,64,38,63.2722
#,64,39,63.2784
#,64,40,63.2607
#,64,41,63.2749
#,64,42,63.2624
#,64,43,63.2769
#,64,44,63.2738
#,64,45,63.2896
#,64,46,63.2788
#,64,47,63.2822
#,64,48,63.2691
#,64,49,63.2849
#,64,50,63.2548
#,64,51,63.2698
#,64,52,63.278
#,64,53,63.2847
#,64,54,63.2747
#,64,55,63.2788
#,64,56,63.2593
#,64,57,63.2761
#,64,58,63.2639
#,64,59,63.2755
#,64,60,63.2806
#,64,61,63.2948
#,64,62,63.2822
#,64,63,63.2922
#,64,0,63.2784
$,64,2554.89
#,64,1,63.3805
#,64,2,63.3967
#,64,3,63.3859
#,64,4,63.3996
#,64,5,63.3808
#,64,6,63.3955
#,64,7,63.3924
#,64,8,63.4068
#,64,9,63.3905
#,64,10,63.4024
#,64,11,63.3925
#,64,12,63.3994
#,64,13,63.3911
#,64,14,63.3997
#,64,15,63.3948
#,64,16,63.4044
#,64,17,63.3867
#,64,18,63.3986
#,64,19,63.39
#,64,20,63.4017
#,64,21,63.3876
#,64,22,63.4009
#,64,23,63.3896
#,64,24,63.407
#,64,25,63.3897
#,64,26,63.3963
#,64,27,63.3891
#,64,28,63.4047
#,64,29,63.3797
#,64,30,63.3903
#,64,31,63.3933
#,64,32,63.4059
#,64,33,63.3825
#,64,34,63.3961
#,64,35,63.3842
#,64,36,63.3986
#,64,37,63.3842
#,64,38,63.397
#,64,39,63.3971
#,64,40,63.4089
#,64,41,63.3945
#,64,42,63.4058
#,64,43,63.3962
#,64,44,63.4061
#,64,45,63.3934
#,64,46,63.4025
#,64,47,63.4
#,64,48,63.4068
#,64,49,63.3877
#,64,50,63.4008
#,64,51,63.3906
#,64,52,63.4035
#,64,53,63.3884
#,64,54,63.4021
#,64,55,63.3959
#,64,56,63.4085
#,64,57,63.3929
#,64,58,63.4046
#,64,59,63.3922
#,64,60,63.4062
#,64,61,63.3921
#,64,62,63.4009
#,64,63,63.3944
#,64,0,63.4096
$,64,2679.89
#,64,1,65.9228
#,64,2,65.9159
#,64,3,65.9219
#,64,4,65.9248
#,64,5,65.9285
#,64,6,65.9238
